cue,target,pair,lag_condition
pine,forest,pine--forest,0
dust,desert,dust--desert,0
guitar,instrument,guitar--instrument,0
flea,itch,flea--itch,0
moss,grass,moss--grass,0
chocolate,milk,chocolate--milk,0
tide,beach,tide--beach,0
brick,building,brick--building,0
galaxy,astronomy,galaxy--astronomy,5
hospital,injury,hospital--injury,5
radio,news,radio--news,5
baseball,club,baseball--club,5
cake,frosting,cake--frosting,5
stadium,arena,stadium--arena,5
coal,miner,coal--miner,5
octopus,legs,octopus--legs,5
olive,green,olive--green,10
cord,plug,cord--plug,10
jewel,ruby,jewel--ruby,10
farmer,cow,farmer--cow,10
knight,hero,knight--hero,10
letter,email,letter--email,10
zebra,lion,zebra--lion,10
bowl,rice,bowl--rice,10
cents,penny,cents--penny,20
lizard,animal,lizard--animal,20
candle,wick,candle--wick,20
hill,valley,hill--valley,20
kite,wind,kite--wind,20
sink,tub,sink--tub,20
muscle,tissue,muscle--tissue,20
paint,canvas,paint--canvas,20
gown,night,gown--night,30
violin,orchestra,violin--orchestra,30
pepper,spice,pepper--spice,30
jam,bread,jam--bread,30
sauce,gravy,sauce--gravy,30
prince,crown,prince--crown,30
shoe,boot,shoe--boot,30
lab,scientist,lab--scientist,30
reunion,hug,reunion--hug,60
sailor,suit,sailor--suit,60
whiskey,beer,whiskey--beer,60
poison,venom,poison--venom,60
metal,copper,metal--copper,60
parcel,box,parcel--box,60
flannel,pajamas,flannel--pajamas,60
breakfast,bacon,breakfast--bacon,60
satin,cloth,satin--cloth,single
parade,street,parade--street,single
award,medal,award--medal,single
basket,laundry,basket--laundry,single
grape,juice,grape--juice,single
finger,toe,finger--toe,single
twilight,moon,twilight--moon,single
rail,track,rail--track,single